Energy (kcal)	2000
Water (g)	1500
B1 (Thiamine) (mg)	1.5
B2 (Riboflavin) (mg)	1.7
B3 (Niacin) (mg)	20
B5 (Pantothenic Acid) (mg)	10
B6 (Pyridoxine) (mg)	2.0
B12 (Cobalamin) (µg)	6.0
Choline (mg)	550
Folate (µg)	4.0
Vitamin A (IU)	5000
Vitamin C (mg)	60
Vitamin D (IU)	400
Vitamin E (mg)	20
Vitamin K (µg)	80
Calcium (mg)	1000
Copper (mg)	2
Iron (mg)	18
Magnesium (mg)	400
Manganese (mg)	2
Phosphorus (mg)	1000
Potassium (mg)	3500
Selenium (µg)	70
Sodium (mg)	2400
Zinc (mg)	15
Carbs (g)	300
Fiber (g)	25
Fat (g)	65
Cholesterol (mg)	300
Saturated (g)	20
Protein (g)	50
